ID1,keyword,"grammar, context",An example of how this word is used:,French,French translation/meaning of the English example
2239,cooled down,si,"""cooled down"" is the past tense of:  cool down",refroidi,
2240,cooler,co,"""cooler"" is the comparative of :  cool","plus frais, fraîche",
2241,coolest,su,"""coolest"" is the superlative of:  cool","le/la/les plus frais, fraîches",
2245,copied,si,"""copied"" is the past tense of:  copy",copié,
2247,copies,pl,"""copies"" is the plural of:  copy",copies,
2260,cornered,si,"""cornered"" is the past tense of:  corner","piégé, acculé",
2261,corners,pl,"""corners"" is the plural of:  corner",coins,
2262,cornier,co,"""cornier"" is the comparative of :  corny",plus cucul la praline,
2263,corniest,su,"""corniest"" is the superlative of:  corny",le/la/les plus cucul la praline,
2266,corporals,pl,"""corporals"" is the plural of:  corporal",,
2269,corporations,pl,"""corporations"" is the plural of:  corporation",sociétés,
2273,corrected,si,"""corrected"" is the past tense of:  correct","corrigé, rectifié",
2276,corrections,pl,"""corrections"" is the plural of:  correction","corrections, rectifications",
2289,cost,si,"""cost"" is the past tense of:  cost",coûté,
2292,costs,pl,"""costs"" is the plural of:  cost",coûts,
2296,cotton,pl,"""cotton"" is the plural of:  cotton",coton,
2307,counted on,si,"""counted on"" is the past tense of:  count on",compté sur,
2312,counters,pl,"""counters"" is the plural of:  counter",comptoirs,
2314,countries,pl,"""countries"" is the plural of:  country",pays,
2319,couples,pl,"""couples"" is the plural of:  couple",couples,
2330,courtrooms,pl,"""courtrooms"" is the plural of:  courtroom",salles d'audience,
2331,courts,pl,"""courts"" is the plural of:  court",tribunaux,
2334,cousins,pl,"""cousins"" is the plural of:  cousin","cousins, cousines",
2339,covered,si,"""covered"" is the past tense of:  cover","couvert, protégé",
2343,cowboys,pl,"""cowboys"" is the plural of:  cowboy",cowboys,
2344,cozier,co,"""cozier"" is the comparative of :  cozy", plus confortable/s,
2345,coziest,su,"""coziest"" is the superlative of:  cozy",le/la/les plus confortable/s,
2357,crashed,si,"""crashed"" is the past tense of:  crash","(s'être) écrasé, (avoir percuté)",
2360,crazier,co,"""crazier"" is the comparative of :  crazy","plus fou(s),folle(s)",
2361,crazier,co,"""crazier"" is the comparative of :  crazy","plus fou(s),folle(s)",
2362,craziest,su,"""craziest"" is the superlative of:  crazy","le/la/les plus fou(s),folle(s)",
2369,created,si,"""created"" is the past tense of:  create",créé,
2378,cried,si,"""cried"" is the past tense of:  cry",pleuré,
2379,cried out,si,"""cried out"" is the past tense of:  cry out","crié, (s'être) écrié",
2381,crimes,pl,"""crimes"" is the plural of:  crime","délits, crimes",
2384,criminals,pl,"""criminals"" is the plural of:  criminal","criminels, criminelles",
2388,crisper,co,"""crisper"" is the comparative of :  crisp",plus croustillant/e/s,
2389,crispiest,su,"""crispiest"" is the superlative of:  crispy",le/la/les plus croustillant/e/s,
2395,criticized,si,"""criticized"" is the past tense of:  criticize",critiqué,
2396,critics,pl,"""critics"" is the plural of:  critic",critiques,
2402,crooks,pl,"""crooks"" is the plural of:  crook",escrocs,
2408,crossed,si,"""crossed"" is the past tense of:  cross",traversé,
2411,crossword puzzles,pl,"""crossword puzzles"" is the plural of:  crossword puzzle",mots croisés,
2414,crowds,pl,"""crowds"" is the plural of:  crowd",foules,
2416,crows,pl,"""crows"" is the plural of: crow","corbeaux, corneilles",
2419,crueler,co,"""crueler"" is the comparative of :  cruel","plus cruel(s), cruelle(s)",
2420,cruelest,su,"""cruelest"" is the superlative of:  cruel","le/la/les plus cruel(s), cruelle(s)",
2425,crumbs,pl,"""crumbs"" is the plural of:  crumb",miettes,
2444,cupboards,pl,"""cupboards"" is the plural of:  cupboard",placards,
2447,cured,si,"""cured"" is the past tense of:  cure","guéri, remédié (à)",
2450,curlier,co,"""curlier"" is the comparative of :  curly",plus bouclé(e)(s),
2451,curliest,su,"""curliest"" is the superlative of:  curly",le/la/les plus bouclé(e)(s),
2453,currencies,pl,"""currencies"" is the plural of:  currency","monnaies, devises",
2458,curtains,pl,"""curtains"" is the plural of:  curtain",rideaux,
2462,curves,pl,"""curves"" is the plural of:  curve","courbes, virages",
2464,customers,pl,"""customers"" is the plural of:  customer","clients, clientes",
2470,cut,si,"""cut"" is the past tense of:  cut",coupé,
2472,cut away,si,"""cut away"" is the past tense of:  cut away",,
2475,cut back,si,"""cut back"" is the past tense of:  cut back",réduit,
2476,cut down,si,"""cut down"" is the past tense of:  cut down",réduit,
2479,cut off,si,"""cut off"" is the past tense of:  cut off",(s'être) coupé,
2483,cuter,co,"""cuter"" is the comparative of :  cute","plus mignon/s, mignonne/s",
2484,cutest,su,"""cutest"" is the superlative of:  cute","le/la/les plus mignon/s, mignonne/s",
2499,damaged,si,"""damaged"" is the past tense of:  damage","endommagé, abîmé",
2504,damper,co,"""damper""is the comparative of :  damp","plus humide/s, moite/s",
2505,dampest,su,"""dampest"" is the superlative of:  damp","le/la/les plus humide/s, moite/s",
2508,danced,si,"""danced"" is the past tense of:  dance",dansé,
2519,darkened,si,"""darkened"" is the past tense of:  darken",assombri,
2520,darker,co,"""darker"" is the comparative of :  dark",plus sombres,
2521,darkest,su,"""darkest"" is the superlative of:  dark",le/la/les plus sombres,
2531,dated,si,"""dated"" is the past tense of:  date","daté, sorti (avec)",
2533,daughters,pl,"""daughters"" is the plural of:  daughter",filles,
2537,dawns,pl,"""dawns"" is the plural of:  dawn",aubes,
2546,days,pl,"""days"" is the plural of:  day","jours, journées",
2552,deadlines,pl,"""deadlines"" is the plural of:  deadline",dates limite,
2564,deals,pl,"""deals"" is the plural of:  deal","affaires, transactions",
2569,deaths,pl,"""deaths"" is the plural of:  death","morts, décès",
2572,debated,si,"""debated"" is the past tense of:  debate","discuté, débattu",
2573,debates,pl,"""debates"" is the plural of:  debate","discussions, débats",
2580,decided on,si,"""decided on"" is the past tense of:  decide on","(s'être) décidé, (s'être) dirigé",
2582,decisions,pl,"""decisions"" is the plural of:  decision",décisions,
2587,declined,si,"""declined"" is the past tense of:  decline","décliné, refusé",
2594,deeper,co,"""deeper"" is the comparative of :  deep","plus profond/s, profonde/s",
2595,deepest,su,"""deepest"" is the superlative of:  deep",le/la/les plus profond/e/s,
2599,defect,verb,He wasn't the only soldier to defect ...,,Il ne fut pas le seul à déserter…
2604,defendants,pl,"""defendants"" is the plural of:  defendant","défendeurs, défenderesses, accusé/e/s",
2605,defended,si,"""defended"" is the past tense of:  defend",défendu,
2607,defenses,pl,"""defenses"" is the plural of:  defense","défenses, protections",
2615,deflated,si,"""deflated"" is the past tense of:  deflate",dégonflé,
2622,delayed,si,"""delayed"" is the past tense of:  delay",retardé,
2635,delivered,si,"""delivered"" is the past tense of:  deliver","livré, distribué",
2645,democrats,pl,"""democrats"" is the plural of:  democrat",démocrates,
2649,demonstrations,pl,"""demonstrations"" is the plural of:  demonstration","démonstrations, protestations",
2653,denied,si,"""denied"" is the past tense of:  deny","refusé, nié, démenti",
2659,denser,co,"""denser"" is the comparative of :  dense","plus denses, épais/se/s",
2660,densest,su,"""densest"" is the superlative of:  dense","le/la/les plus denses, épais/se/s",
2667,department stores,pl,"""department stores"" is the plural of:  department store",grands magasins,
2668,departments,pl,"""departments"" is the plural of:  department","services, departements, rayons",
2679,deposited,si,"""deposited"" is the past tense of:  deposit","déposé, confié",
2681,depressed,"verb, past participle",Oh no! She's depressed again! What shall we do?,,Oh non. Elle n'a de nouveau pas le moral ! Qu'allons-nous faire?
2688,descended,si,"""descended"" is the past tense of:  descend","descendu, tombé",
2695,deserved,si,"""deserved"" is the past tense of:  deserve",mérité,
2705,desks,pl,"""desks"" is the plural of:  desk",bureaux,
2708,desserts,pl,"""desserts"" is the plural of:  dessert",desserts,
2712,destroyed,si,"""destroyed"" is the past tense of:  destroy",détruit,
2718,details,pl,"""details"" is the plural of:  detail",détails,
2721,detectives,pl,"""detectives"" is the plural of:  detective",détectives,
2723,detergents,pl,"""detergents"" is the plural of:  detergent",détergents,
2726,determined,si,"""determined"" is the past tense of:  determine","déterminé, décidé, résolu (à)",
2729,detested,si,"""detested"" is the past tense of:  detest",détesté,
2734,developed,si,"""developed"" is the past tense of:  develop",développé,
2738,deviated,si,"""deviated"" is the past tense of:  deviate",dévié,
2743,dew,"noun, weather",Have you ever walked barefoot on morning dew?,rosée,
2747,dialogues,pl,"""dialogues"" is the plural of:  dialogue",dialogue,
2749,diaries,pl,"""diaries"" is the plural of:  diary",agendas (UK),
2752,dictionaries,pl,"""dictionaries"" is the plural of:  dictionary",dictionnaires,
2754,did,si,"""did"" is the past tense of:  do",fait,
2756,did,si,"""did"" is the past tense of:  do",fait,
2758,didn't,si,"""didn't"" is the past tense of:  don't",,
2762,died,si,"""died"" is the past tense of:  die","mort, décédé",
2765,dieted,si,"""dieted"" is the past tense of:  diet",avoit été au régime,
2766,diets,pl,"""diets"" is the plural of:  diet","alimentations, régimes",
2768,differed,si,"""differed"" is the past tense of:  differ","différé, s'être différencié",
2772,differences,pl,"""differences"" is the plural of:  difference",différences,
2787,dimes,pl,"""dimes"" is the plural of:  dime",,
2788,dimmer,co,"""dimmer"" is the comparative of :  dim",plus morne/s,
2789,dimmest,su,"""dimmest"" is the superlative of:  dim",le/la/les plus morne/s,
2791,dining cars,pl,"""dining cars"" is the plural of:  dining car",wagons-restaurants,
2794,dinners,pl,"""dinners"" is the plural of:  dinner",dîners,
2804,directions,pl,"""directions"" is the plural of:  direction","directions, indications, instructions",
2809,dirtier,co,"""dirtier"" is the comparative of :  dirty",plus sale/s,
2810,dirtiest,su,"""dirtiest"" is the superlative of:  dirty",le/la/les plus sale/s,
2814,disagreed,si,"""disagreed"" is the past tense of:  disagree",avoir été en désaccord,
2817,disappeared,si,"""disappeared"" is the past tense of:  disappear",disparu,
2824,disapproved,si,"""disapproved"" is the past tense of:  disapprove",désapprouvé,
2826,disasters,pl,"""disasters"" is the plural of:  disaster","catastrophes, désastres",
2835,discouraged,si,"""discouraged"" is the past tense of:  discourage",découragé,
2838,discovered,si,"""discovered"" is the past tense of:  discover",découvert ,
2839,discoveries,pl,"""discoveries"" is the plural of:  discovery",découvertes,
2844,discussions,pl,"""discussions"" is the plural of:  discussion","discussions, débats",
2847,diseases,pl,"""diseases"" is the plural of:  disease",maladies,
2855,dishes,pl,"""dishes"" is the plural of:  dish","assiettes, plats",
2863,disliked,si,"""disliked"" is the past tense of:  dislike",détesté,
2867,dispersed,si,"""dispersed"" is the past tense of:  disperse","(s'être) dispersé, dissipé",
2870,displayed,si,"""displayed"" is the past tense of:  display","montré, affiché, exposé",
2876,disposed,si,"""disposed"" is the past tense of:  dispose",disposé,
2879,disputes,pl,"""disputes"" is the plural of:  dispute","disputes, différends, litiges",
2884,dissipated,si,"""dissipated"" is the past tense of:  dissipate","dissipé, dissolu",
2890,distinguished,si,"""distinguished"" is the past tense of:  distinguish",distingué,
2892,District of Columbia,"noun, proper","The D.C. in Washington, DC is this!",,Le D.C de Washington signifie District of Columbia !
2894,disturbed,si,"""disturbed"" is the past tense of:  disturb","dérangé, troublé",
2915,doctors,pl,"""doctors"" is the plural of:  doctor","docteurs, médecins",
2919,documents,pl,"""documents"" is the plural of:  document",documents,
2931,dollars,pl,"""dollars"" is the plural of:  dollar",dollars,
2932,dolls,pl,"""dolls"" is the plural of:  doll",poupées,
2959,doubted,si,"""doubted"" is the past tense of:  doubt",douté,
2976,downturns,pl,"""downturns"" is the plural of:  downturn",baisses,
2981,draftier,co,"""draftier"" is the comparative of :  drafty", plus éxposé/e/s au vent,
2982,draftiest,su,"""draftiest"" is the superlative of:  drafty",le/la/les plus éxposé/e/s au vent,
2983,drafts,pl,"""drafts"" is the plural of:  draft",brouillons,
2986,dragged,si,"""dragged"" is the past tense of:  drag","tiré, traîné",
2995,dramatized,si,"""dramatized"" is the past tense of:  dramatize","dramatisé, adapté (pour la TV)",
3003,drawers,pl,"""drawers"" is the plural of:  drawer",tiroirs,
3005,drawings,pl,"""drawings"" is the plural of:  drawing",dessins,
3010,dreams,pl,"""dreams"" is the plural of:  dream","rêves, songes ",
3015,dressed  dress,si,"""dressed"" is the past tense of:  dress",(s'être) habillé,
3016,dresses  dress,pl,"""dresses"" is the plural of:  dress",robes,
3017,dressier,co,"""dressier"" is the comparative of :  dressy","plus élégant(s), élégante(s)",
3018,dressiest,su,"""dressiest"" is the superlative of:  dressy","le/la/les plus élégant(s), élégante(s)",
3020,drew,si,"""drew"" is the past tense of:  draw","dessiné, tiré",
3021,drew up,si,"""drew up"" is the past tense of:  draw up","arrêté, établi",
3022,dried,si,"""dried"" is the past tense of:  dry","séché, asséché",
3023,drier,co,"""drier"" is the comparative of :  dry","plus sec(s),sèche(s)",
3024,driest,su,"""driest"" is the superlative of: dry","le/la/les plus sec(s), sèche(s)",
3027,drills,pl,"""drills"" is the plural of:  drill",perceuses,
3046,drivers,pl,"""drivers"" is the plural of:  driver","conducteurs, conductrices",
3048,driveways,pl,"""driveways"" is the plural of:  driveway",allées,
3058,dropped,si,"""dropped"" is the past tense of:  drop",laissé tomber,
3059,dropped off,si,"""dropped off"" is the past tense of:  drop off","laissé tomber, abandonné",
3062,drove up,si,"""drove up"" is the past tense of:  drive up",augmenté,
3069,drugged,si,"""drugged"" is the past tense of:  drug","drogué, dopé",
3084,dug,si,"""dug"" is the past tense of:  dig",creusé,
3088,duller,co,"""duller"" is the comparative of :  dull","plus ennuyeux/ses, monotone/s",
3089,dullest,su,"""dullest"" is the superlative of:  dull","le/la/les plus ennuyeux/ses, monotone/s",
3092,dumber,co,"""dumber"" is the comparative of :  dumb","plus bête/s, muet/s, muette/s",
3093,dumbest,su,"""dumbest"" is the superlative of:  dumb","le/la/les plus bête/s, muet/s, muette/s",
3102,dusted,si,"""dusted"" is the past tense of:  dust","épousseté, saupoudré",
3104,duties,pl,"""duties"" is the plural of:  duty","devoirs, fonctions",
3109,dyed,si,"""dyed"" is the past tense of:  dye",teint,
3125,earned,si,"""earned"" is the past tense of:  earn",gagné (argent),
3128,ears,pl,"""ears"" is the plural of:  ear",oreilles,
3131,earthquakes,pl,"""earthquakes"" is the plural of:  earthquake",tremblements de terre,
3135,eased,si,"""eased"" is the past tense of:  ease","facilité, atténué",
3136,easier,co,"""easier"" is the comparative of : easy","plus facile/s, simple/s",
3137,easiest,su,"""easiest"" is the superlative of:  easy","le/la/les plus facile/s, simple/s",
3162,economies,pl,"""economies"" is the plural of:  economy",économies,
3165,economized,si,"""economized"" is the past tense of:  economize",économisé,
3170,edges,pl,"""edges"" is the plural of:  edge",bords,
3175,edited,si,"""edited"" is the past tense of:  edit","édité, révisé",
3179,editorials,pl,"""editorials"" is the plural of:  editorial",éditoriaux,
3188,effects,pl,"""effects"" is the plural of:  effect",effets,
3193,efforts,pl,"""efforts"" is the plural of:  effort",efforts,
3196,eggs,pl,"""eggs"" is the plural of:  egg",œufs,
3210,elaborate,verb,Could you elaborate on that?,,Pourrais-tu développer ça ?
3218,elections,pl,"""elections"" is the plural of:  election",élections,
3229,elevators,pl,"""elevators"" is the plural of:  elevator",ascenseurs,
3233,eliminated,si,"""eliminated"" is the past tense of:  eliminate",eliminé,
3244,emergencies,pl,"""emergencies"" is the plural of:  emergency","éliminé, exclu",
3247,emotions,pl,"""emotions"" is the plural of:  emotion","émotions, sentiments",
3251,employed,si,"""employed"" is the past tense of:  employ",employé,
3253,employees,pl,"""employees"" is the plural of:  employee","employés, employées",
3256,emptied out,si,"""emptied out"" is the past tense of:  empty out","vidé, (s'être) répandu",
3257,emptier,co,"""emptier"" is the comparative of :  empty",plus vide/s,
3258,emptiest,su,"""emptiest"" is the superlative of:  empty",le/la/les plus vide/s,
3265,encouraged,si,"""encouraged"" is the past tense of:  encourage",encouragé,
3269,encyclopedias,pl,"""encyclopedias"" is the plural of:  encyclopedia",encyclopédies,
3273,enemies,pl,"""enemies"" is the plural of:  enemy","ennemis, ennemies",
3285,engineered,si,"""engineered"" is the past tense of:  engineer","construit, conçu",
3291,enhanced,si,"""enhanced"" is the past tense of:  enhance",amélioré,
3295,enjoyed,si,"""enjoyed"" is the past tense of:  enjoy","aimé, apprécié, amusé",
3308,entered,si,"""entered"" is the past tense of:  enter","entré (dans), pénétrer",
3319,envelopes,pl,"""envelopes"" is the plural of:  envelope",enveloppes,
3331,erased,si,"""erased"" is the past tense of:  erase",effacé,
3337,errands,pl,"""errands"" is the plural of:  errand","cours, commissions",
3341,escaped,si,"""escaped"" is the past tense of:  escape",échappé,
3346,essayists,pl,"""essayists"" is the plural of:  essayist",essayistes,
3349,established,si,"""established"" is the past tense of:  establish",établi,
3352,esteemed,si,"""esteemed"" is the past tense of:  esteem","estimé, respecté",
3354,estimate,noun,"""Your estimate is rather high,"" she said.",,"Ton estimation/évaluation est plutôt haute, dit-elle."
3361,evacuated,si,"""evacuated"" is the past tense of:  evacuate",évacué,
3363,evaporated,si,"""evaporated"" is the past tense of:  evaporate",évaporé,
3369,even bigger,co,"""even bigger"" is the comparative of :  even big",,
3375,evenings,pl,"""evenings"" is the plural of:  evening","soirées, soirs",
3378,events,pl,"""events"" is the plural of:  event",événements,
3406,examples,pl,"""examples"" is the plural of:  example",exemples,
3407,exams,pl,"""exams"" is the plural of:  exam",examens,
3417,exchanged,si,"""exchanged"" is the past tense of:  exchange",échangé,
3422,excited,si,"""excited"" is the past tense of:  excite","enthousiasmé, agité",
3434,excused,si,"""excused"" is the past tense of:  excuse","excusé, dispensé",
3440,exercises,pl,"""exercises"" is the plural of:  exercise",exercices,
3449,exhibited,si,"""exhibited"" is the past tense of:  exhibit",exposé,
3464,expected,si,"""expected"" is the past tense of:  expect","attendu, espéré",
3474,experienced,si,"""experienced"" is the past tense of:  experience","vécu, éprouvé",
3475,experiences,pl,"""experiences"" is the plural of:  experience",expériences,
3479,experiments,pl,"""experiments"" is the plural of:  experiment",expériences,
3484,explained,si,"""explained"" is the past tense of:  explain",expliqué,
3489,exploded,si,"""exploded"" is the past tense of:  explode",explosé,
3491,explored,si,"""explored"" is the past tense of:  explore",exploré,
3498,expressed,si,"""expressed"" is the past tense of:  express",exprimé,
3501,expressions,pl,"""expressions"" is the plural of:  expression","expressions, témoignages",
3509,extensions,pl,"""extensions"" is the plural of:  extension",prolongements,
3519,extra,co,"""extra"" is the comparative of :  enough",supplémentaire,
3527,eyes,pl,"""eyes"" is the plural of:  eye",yeux,
3530,fables,pl,"""fables"" is the plural of:  fable",fables,
3532,fabrics,pl,"""fabrics"" is the plural of:  fabric","tissus, étoffes",
3536,faced,si,"""faced"" is the past tense of:  face",affronté,
3537,faces,pl,"""faces"" is the plural of:  face",visages,
3541,factories,pl,"""factories"" is the plural of:  factory",usines,
3543,facts,pl,"""facts"" is the plural of:  fact",faits,
3549,failed,si,"""failed"" is the past tense of:  fail",échoué,
3554,fainted,si,"""fainted"" is the past tense of:  faint",(s'être) évanoui,
3555,fainter,co,"""fainter"" is the comparative of :  faint","plus léger(s), légère(s)",
3556,faintest,su,"""faintest"" is the superlative of:  faint","le/la/les plus léger(s), légère(s)",
3560,fairer,co,"""fairer"" is the comparative of :  fair","plus juste(s), équitable(s)",
3561,fairest,su,"""fairest"" is the superlative of:  fair","le/la/les plus juste(s), équitable(s)",
3573,families,pl,"""families"" is the plural of:  family",familles,
3580,fancier,co,"""fancier"" is the comparative of :  fancy",plus sophistiqué(e)(s),
3581,fanciest,su,"""fanciest"" is the superlative of: fancy",le/la/les plus sophistiqué(e)(s),
3594,farms,pl,"""farms"" is the plural of:  farm",fermes,
3596,farther,co,"""farther"" is the comparative of :  far",plus loin,
3598,farther behind,co,"""farther behind"" is the comparative of :  far behind",plus loin derrière,
3599,farthest,su,"""farthest"" is the superlative of:  far",le/la/les plus éloigné(e)(s),
3608,fastened,si,"""fastened"" is the past tense of:  fasten","attaché, bouclé",
3609,faster,co,"""faster"" is the comparative of :  fast",plus rapide,
3610,faster,co,"""faster"" is the comparative of :  fast",plus rapide,
3611,fastest,su,"""fastest"" is the superlative of:  fast",le/la/les plus rapides,
3623,fathered,si,"""fathered"" is the past tense of:  father",engendré,
3624,fathers,pl,"""fathers"" is the plural of:  father",pères,
3625,fatter,co,"""fatter"" is the comparative of :  fat","plus gros, grosse/s, gras, grasses",
3626,fattest,su,"""fattest"" is the superlative of:  fat","le/la/les plus gros, grosse/s, gras, grasses",
3633,favors,pl,"""favors"" is the plural of:  favor","faveurs, services",
3636,faxed,si,"""faxed"" is the past tense of:  fax",faxé,
3644,feasts,pl,"""feasts"" is the plural of:  feast","festins, fêtes",
3646,feathers,pl,"""feathers"" is the plural of:  feather",plumes,
3651,fed,si,"""fed"" is the past tense of:  feed",nourri,
3664,feet,pl,"""feet"" is the plural of:  foot",pieds,
3667,fell,si,"""fell"" is the past tense of:  fall",tombé,
3668,fell asleep,si,"""fell asleep"" is the past tense of:  fall asleep",endormi,
3669,fell behind,si,"""fell behind"" is the past tense of:  fall behind",distancé,
3670,fell down,si,"""fell down"" is the past tense of:  fall down","tombé, (s'être) effondré",
3671,fell off,si,"""fell off"" is the past tense of:  fall off",tombé,
3674,felt,"verb, past participle","""felt"" is the of the verb ""to feel""","senti, ressenti",
3675,felt,si,"""felt"" is the past tense of:  feel","senti, ressenti",
3676,felt like,si,"""felt like"" is the past tense of:  feel like",avoir (eu) envie,
3684,festivals,pl,"""festivals"" is the plural of:  festival","festivals, fêtes",
3708,figured out,si,"""figured out"" is the past tense of:  figure out","trouvé, compris",
3709,figures,pl,"""figures"" is the plural of:  figure","chiffres, silhouettes",
3715,filed,si,"""filed"" is the past tense of:  file",classé,
3716,files,pl,"""files"" is the plural of:  file","dossiers, fichiers",
3722,filled,si,"""filled"" is the past tense of:  fill",rempli,
3723,filled in,si,"""filled in"" is the past tense of:  fill in",remplacé,
3724,filled out,si,"""filled out"" is the past tense of:  fill out","avoir pris du poids, rempli",
3732,films,pl,"""films"" is the plural of:  film",films,
3737,filtered,si,"""filtered"" is the past tense of:  filter",filtré,
3738,filters,pl,"""filters"" is the plural of:  filter",filtres,
3739,filthier,co,"""filthier"" is the comparative of :  filthy",plus répugnant/e/s,
3740,filthiest,su,"""filthiest"" is the superlative of:  filthy",le/la/les plus répugnant/e/s,
3760,finer,co,"""finer"" is the comparative of :  fine","plus fin/e/s, pur/e/s",
3761,finest,su,"""finest"" is the superlative of:  fine","le/la/les plus fin/e/s, pur/e/s",
3764,finished,si,"""finished"" is the past tense of:  finish","fini, terminé",
3773,fire hydrants,pl,"""fire hydrants"" is the plural of:  fire hydrant",bouches d'incendie,
3775,firearms,pl,"""firearms"" is the plural of:  firearm",armes à feu,
3776,fired,si,"""fired"" is the past tense of:  fire","tiré, renvoyé",
3778,firemen,pl,"""firemen"" is the plural of:  fireman",pompiers,
3780,fireworks,pl,"""fireworks"" is the plural of:  firework",feux d'artifice,
3788,firmer,co,"""firmer"" is the comparative of :  firm","plus fermes, solides",
3789,firmest,su,"""firmest"" is the superlative of:  firm","le/la/les plus fermes, solides",
3804,fishermen,pl,"""fishermen"" is the plural of:  fisherman","pêcheurs, pêcheuses",
3810,fit,si,"""fit"" is the past tense of:  fit","être bien aller, avoir correspondu",
3816,fixed,si,"""fixed"" is the past tense of:  fix","réparé, arrangé",
3820,flagged down,si,"""flagged down"" is the past tense of:  flag down",avoir hélé,
3821,flags,pl,"""flags"" is the plural of:  flag",drapeaux,
3828,flats,pl,"""flats"" is the plural of:  flat",appartements,
3831,flatter,co,"""flatter"" is the comparative of :  flat",plus plat/e/s,
3832,flattered,si,"""flattered"" is the past tense of:  flatter",flatté,
3834,flattest,su,"""flattest"" is the superlative of:  flat",le/la/les plus plat/e/s,
3840,flea markets,pl,"""flea markets"" is the plural of:  flea market",marchés aux puces,
3841,fleas,pl,"""fleas"" is the plural of:  flea",puces,
3844,flew,si,"""flew"" is the past tense of:  fly",allé en avion,
3845,flew,"verb, PP to fly","""flew"" is the past tense of the verb ""to fly""",avoir volé en avion,
3851,floated,si,"""floated"" is the past tense of:  float",flotté,
3857,flooded,si,"""flooded"" is the past tense of:  flood",inondé,
3867,flour,pl,"""flour"" is the plural of:  flour",farines,
3873,flowed,si,"""flowed"" is the past tense of:  flow",coulé,
3876,flowers,pl,"""flowers"" is the plural of:  flower",fleurs,
3884,fluids,pl,"""fluids"" is the plural of:  fluid","liquides, fluides",
3899,folded,si,"""folded"" is the past tense of:  fold",plié,
3902,followed,si,"""followed"" is the past tense of:  follow",suivi,
3905,fonder,co,"""fonder"" is the comparative of :  fond","plus affectueux, affectueuse/s",
3906,fondest,su,"""fondest"" is the superlative of:  fond",le/la/les plus affectueux/ses,
3915,fools,pl,"""fools"" is the plural of:  fool","idiots, imbéciles",
3934,forced,si,"""forced"" is the past tense of:  force",forcé,
3944,forests,pl,"""forests"" is the plural of:  forest",forêts,
3946,forgave,si,"""forgave"" is the past tense of:  forgive",pardonné,
3955,forgot,si,"""forgot"" is the past tense of:  forget",oublié,
3968,forms,pl,"""forms"" is the plural of:  form","formes, formulaires",
3971,formulas,pl,"""formulas"" is the plural of:  formula",formules,
3982,forums,pl,"""forums"" is the plural of:  forum",forums,
3987,fought,si,"""fought"" is the past tense of:  fight",lutté,
3989,found,si,"""found"" is the past tense of:  find",trouvé,
4006,francs,pl,"""francs"" is the plural of:  ""franc",francs,
4011,franker,co,"""franker"" is the comparative of :  frank","plus franc/s, franche/s",
4012,frankest,su,"""frankest"" is the superlative of:  frank","le/la/les plus franc/s, franche/s",
4019,freed,si,"""freed"" is the past tense of:  free",libéré,
4023,freer,co,"""freer"" is the comparative of :  free",plus libre/s,
4024,freest,su,"""freest"" is the superlative of:  free",le/la/les plus libre/s,
4028,freezers,pl,"""freezers"" is the plural of:  freezer",congélateurs,
4039,fresher,co,"""fresher"" is the comparative of :  fresh","plus frais, fraîches",
4040,freshest,su,"""freshest"" is the superlative of:  fresh","le/la/les plus frais, fraîches",
4043,fried,si,"""fried"" is the past tense of:  fry",frit,
4045,friendlier,co,"""friendlier"" is the comparative of :  friendly",plus amicaux/amical/e/s,
4046,friendliest,su,"""friendliest"" is the superlative of:  friendly",le/la/les plus amicaux/amical/e/s,
4048,friends,pl,"""friends"" is the plural of:  friend","amis, amies",
4050,friendships,pl,"""friendships"" is the plural of:  friendship",amitiés,
4051,fries,pl,"""fries"" is the plural of:  fry",,
4057,frisbees,pl,"""frisbees"" is the plural of:  frisbee",frisbee,
4070,frowned,si,"""frowned"" is the past tense of:  frown","avoir froncé les sourcils, désapprouvé",
4072,fruit,pl,"""fruit"" is the plural of:  fruit",fruits,
4085,funded,si,"""funded"" is the past tense of:  fund",financé,
4086,funds,pl,"""funds"" is the plural of:  fund",fonds,
4088,funnier,co,"""funnier"" is the comparative of :  funny","plus drôle/s, amusant/e/s",
4089,funniest,su,"""funniest"" is the superlative of:  funny","le/la/les plus drôle/s, amusant/e/s",
4110,gained,si,"""gained"" is the past tense of:  gain","gagné, acquis",
4111,gained weight,si,"""gained weight"" is the past tense of:  gain weight",(avoir) pris du poids,
4122,games,pl,"""games"" is the plural of:  game","jeux, parties",
4126,gardened,si,"""gardened"" is the past tense of:  garden",jardiné,
4132,gases,pl,"""gases"" is the plural of:  gas",gaz,
4136,gathered,si,"""gathered"" is the past tense of:  gather",réuni,
4138,gave,si,"""gave"" is the past tense of:  give",donné,
4139,gave in,si,"""gave in"" is the past tense of:  give in",renoncé,
4140,gave up,si,"""gave up"" is the past tense of:  give up",abandonné,
4150,generated,si,"""generated"" is the past tense of:  generate","produit, engendré",
4157,gentlemen,pl,"""gentlemen"" is the plural of:  gentleman",gentlemen,
4198,get togethers,pl,"""get togethers"" is the plural of:  get together","petites fêtes, réunions",
4208,gifts,pl,"""gifts"" is the plural of:  gift","dons, cadeaux",
4230,glasses,pl,"""glasses"" is the plural of:  glass",verres,
4238,glossier,co,"""glossier"" is the comparative of :  glossy", plus brillant/e/s,
